"
            Park          ","
            Title          ","
            Region          ","
            State          ","
            Length          ","
            Difficulty          ","
            Features          ","
            Dogs          ","
            Trailhead GPS Coordinates          ","
            Total views          "
"
            Hudson Highlands State Park          ","
            Bull Hill (Mt. Taurus) via Washburn/Notch/Brook/Cornish Trail Loop          ","
            East Hudson Highlands          ","
            NY          ","
            4.8 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.426591,-73.96539          ","
            52,020          "
"
            Hudson Highlands State Park          ","
            Appalachian Trail /Osborn Loop Trail from Route 9          ","
            East Hudson Highlands          ","
            NY          ","
            6 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.353039,-73.924491          ","
            13,293          "
"
            Hudson Highlands State Park          ","
            Breakneck Ridge Loop          ","
            East Hudson Highlands          ","
            NY          ","
            2.8 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.447809,-73.980861          ","
            269,851          "
"
            Hudson Highlands State Park          ","
            Bull Hill (Mt. Taurus) via Lone Star/Nelsonville/Washburn/Undercliff Trails Loop          ","
            East Hudson Highlands          ","
            NY          ","
            5.8 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.434633,-73.93654          ","
            17,331          "
"
            Hudson Highlands State Park          ","
            Undercliff/Brook/Cornish Trail Loop from Cold Spring station          ","
            East Hudson Highlands          ","
            NY          ","
            6 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.414781,-73.957944          ","
            25,858          "
"
            Hudson Highlands State Park          ","
            Nelsonville/Notch/Breakneck Ridge Trail Loop          ","
            East Hudson Highlands          ","
            NY          ","
            7 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.424397, -73.949215          ","
            14,441          "
"
            Hudson Highlands State Park          ","
            Sugarloaf Hill and Osborn Loop Trail          ","
            East Hudson Highlands          ","
            NY          ","
            7 miles          ","
            Moderate          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
                      ","
            28,951          "
"
            Hudson Highlands State Park          ","
            Sugarloaf Mountain and Breakneck Ridge Trail          ","
            East Hudson Highlands          ","
            NY          ","
            6 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
                      ","
            27,233          "
"
            Hudson Highlands State Park          ","
            Camp Smith Trail          ","
            East Hudson Highlands          ","
            NY          ","
            4.3 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
             41.301419, -73.951288          ","
            33,145          "
"
            Hunt-Parker Memorial Sanctuary and Mount Holly Sanctuary          ","
            Westchester County Sanctuary Ramble          ","
            Westchester County          ","
            NY          ","
            7.6 miles          ","
            Moderate          ","
            Woods          ","
            No Dogs          ","
            41.283644,-73.67216          ","
            12,788          "
"
            Hunter Brook Linear Park          ","
            Hunter Brook Linear Park          ","
            Westchester County          ","
            NY          ","
            2.9 miles          ","
            Easy          ","
            ViewsWoods          ","
            No Dogs          ","
            41.276968,-73.845592          ","
            6,762          "
"
            John Boyd Thacher State Park          ","
            Cliff Edge Overlook and Indian Ladder via the Long Path and Escarpment Trails          ","
            Other NY          ","
            NY          ","
            5.7 miles          ","
            Easy          ","
            ViewsWaterfallHistoric featureWoods          ","
            Allowed on leash          ","
            42.638692, -74.015090          ","
            7,128          "
"
            John Boyd Thacher State Park          ","
            Hang Glider Overlook and High Point Overlook via the Long Path          ","
            Other NY          ","
            NY          ","
            4.45 miles          ","
            Easy          ","
            ViewsWoods          ","
            Allowed on leash          ","
            42.666399, -74.030366          ","
            4,755          "
"
            Kennedy Dells County Park          ","
            Kennedy Dells County Park Loop Hike          ","
            Rockland County          ","
            NY          ","
            2.4 miles          ","
            Easy          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
                      ","
            22,483          "
"
            Koegel Park          ","
            Koegel Park via the North County Trailway           ","
            Westchester County          ","
            NY          ","
            2.9 miles          ","
            Easy          ","
            Public Transportation          ","
            No Dogs          ","
            41.348851,-73.760233          ","
            7,462          "
"
            Long Path/Old Erie Railroad Bed (Rockland County, N.Y.)          ","
            Long Path/Old Erie Railroad Bed Loop (Piermont to Nyack)          ","
            Rockland County          ","
            NY          ","
            10 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
                      ","
            15,444          "
"
            Manitoga          ","
            Manitoga to Appalachian Trail Circuit          ","
            East Hudson Highlands          ","
            NY          ","
            4.6 miles          ","
            Moderate          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.339894,-73.959103          ","
            1,359          "
"
            Manitou Point Preserve          ","
            Hudson River Views at Manitou Point Preserve          ","
            East Hudson Highlands          ","
            NY          ","
            3.5 miles          ","
            Easy to Moderate          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
                      ","
            23,259          "
"
            Marshlands Conservancy          ","
            Along Long Island Sound in Marshlands Conservancy          ","
            Westchester County          ","
            NY          ","
            1 miles          ","
            Easy          ","
            ViewsPublic Transportation          ","
            No Dogs          ","
            40.955971,-73.703262          ","
            10,956          "
"
            Minnewaska State Park Preserve          ","
            Mossy Glen/Blueberry Run/Castle Point Carriage Road Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            8.7 miles          ","
            Moderate          ","
            ViewsWaterfallSwimmingFees          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            19,191          "
"
            Minnewaska State Park Preserve          ","
            Mossy Glen/Rainbow Falls/Castle Point/Hamilton Point Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            10 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfallFees          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            19,445          "
"
            Minnewaska State Park Preserve          ","
            Castle Point Carriage Road/Lake Awosting Carriage Road/Upper Awosting Carriage Road Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            8.5 miles          ","
            Moderate          ","
            ViewsSwimmingFees          ","
            Allowed on leash          ","
            41.73507,-74.239082          ","
            23,484          "
"
            Minnewaska State Park Preserve          ","
            Gertrude's Nose Loop/Millbrook Mountain          ","
            Shawangunk Mountains          ","
            NY          ","
            8 miles          ","
            Moderate to Strenuous          ","
            ViewsSwimmingFees          ","
            Allowed on leash          ","
            41.73507,-74.239082          ","
            45,937          "
"
            Minnewaska State Park Preserve          ","
            Mossy Glen/Blueberry Run/Rainbow Falls/Hamilton Point Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            9.1 miles          ","
            Moderate          ","
            ViewsSwimmingFees          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            11,389          "
"
            Minnewaska State Park Preserve          ","
            Beacon Hill and Lake Minnewaska Easy Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            3 miles          ","
            Easy to Moderate          ","
            ViewsSwimmingFees          ","
            Allowed on leash          ","
                      ","
            23,155          "
"
            Minnewaska State Park Preserve          ","
            Short and Scenic Loop Hike on Bullwheel, High Peters Kill and Red Trails          ","
            Shawangunk Mountains          ","
            NY          ","
            2 miles          ","
            Moderate          ","
            WaterfallFeesHistoric feature          ","
            Allowed on leash          ","
                      ","
            14,652          "
"
            Mohonk Preserve          ","
            Old Minnewaska Trail and Undivided Lot Trail          ","
            Shawangunk Mountains          ","
            NY          ","
            7.5 miles          ","
            Moderate to Strenuous          ","
            ViewsSwimmingFees          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            14,470          "
"
            Mohonk Preserve          ","
            Dickie Barre, Peters Kill and Awosting Falls Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            7.5 miles          ","
            Strenuous          ","
            ViewsWaterfallFees          ","
            Allowed on leash          ","
            41.736039,-74.200394          ","
            27,711          "
"
            Mohonk Preserve          ","
            Millbrook Mountain via Millbrook Ridge Trail          ","
            Shawangunk Mountains          ","
            NY          ","
            6.5 miles          ","
            Moderate          ","
            ViewsFees          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            16,360          "
"
            Mohonk Preserve          ","
            Bonticou Crag          ","
            Shawangunk Mountains          ","
            NY          ","
            3 miles          ","
            Strenuous          ","
            ViewsFees          ","
            Allowed on leash          ","
            41.795208,-74.128532          ","
            30,528          "
"
            Mohonk Preserve          ","
            Undercliff/Overcliff Carriage Roads Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            5 miles          ","
            Easy          ","
            ViewsFeesBikes allowed          ","
            Allowed on leash          ","
            41.742371,-74.199944          ","
            14,751          "
"
            Mohonk Preserve          ","
            North Lookout at Mohonk Preserve          ","
            Shawangunk Mountains          ","
            NY          ","
            6.5 miles          ","
            Moderate          ","
            ViewsFees          ","
            No Dogs          ","
                      ","
            8,731          "
"
            Mohonk Preserve          ","
            Northeast Crags/Bonticou Crag Loop from Spring Farm          ","
            Shawangunk Mountains          ","
            NY          ","
            7 miles          ","
            Moderate          ","
            ViewsFees          ","
            No Dogs          ","
            41.795208,-74.128532          ","
            9,889          "
"
            Mohonk Preserve and Mohonk Mountain House          ","
            Spring Farm to North Lookout at Mohonk Preserve          ","
            Shawangunk Mountains          ","
            NY          ","
            8 miles          ","
            Easy to Moderate          ","
            ViewsFeesHistoric feature          ","
            No Dogs          ","
            41.795208,-74.128532          ","
            10,189          "
"
            Mohonk Preserve and Mohonk Mountain House          ","
            Spring Farm to Mohonk Mountain House          ","
            Shawangunk Mountains          ","
            NY          ","
            9 miles          ","
            Moderate          ","
            ViewsFees          ","
            No Dogs          ","
            41.795208,-74.128532          ","
            9,505          "
"
            Mount Washington State Forest          ","
            Tri-state Hike in the South Taconic Mountains          ","
            Southern Taconics          ","
            MA/CT/NY          ","
            12 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
                      ","
            9,476          "
"
            Mountain Lakes County Park (North Salem, N.Y.)          ","
            Mountain Lakes Park (North Salem, N.Y.)          ","
            Westchester County          ","
            NY          ","
            5.5 miles          ","
            Moderate          ","
            ViewsWoods          ","
            Allowed on leash          ","
            41.311023,-73.562357          ","
            2,881          "
"
            Mountainview County Nature Park          ","
            Mountainview Nature Park in West Nyack          ","
            Rockland County          ","
            NY          ","
            2.5 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
                      ","
            11,972          "
"
            Nyack Beach State Park          ","
            Long Path/Hook Mountain Bike Path Loop to Summit of Hook Mountain          ","
            Rockland County          ","
            NY          ","
            6 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.120746,-73.911552          ","
            23,656          "
"
            Old Croton Aqueduct State Historic Park          ","
            Old Croton Aqueduct from Ossining to Quaker Bridge - Walk and Bike          ","
            Westchester County          ","
            NY          ","
            5.5 miles          ","
            Easy to Moderate          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.163867,-73.863903          ","
            18,784          "
"
            Old Croton Aqueduct State Historic Park          ","
            Old Croton Aqueduct from Tarrytown to Yonkers          ","
            Westchester County          ","
            NY          ","
            9 miles          ","
            Easy          ","
            ViewsPublic TransportationHistoric feature          ","
            Allowed on leash          ","
            41.066798,-73.860312          ","
            30,948          "
"
            Old Croton Aqueduct State Historic Park          ","
            Old Croton Aqueduct from Tarrytown to Ossining          ","
            Westchester County          ","
            NY          ","
            9 miles          ","
            Easy to Moderate          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.066798,-73.860312          ","
            16,502          "
"
            Rockefeller State Park Preserve          ","
            Pocantico Hills Loop Walk          ","
            Westchester County          ","
            NY          ","
            5.7 miles          ","
            Easy          ","
            Views          ","
            Allowed on leash          ","
            41.092548,-73.856664          ","
            18,743          "
"
            Rockefeller State Park Preserve          ","
            Rockwood Hall at Sleepy Hollow          ","
            Westchester County          ","
            NY          ","
            2.1 miles          ","
            Easy          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.126694,-73.87207          ","
            27,842          "
"
            Sam's Point Preserve          ","
            Ice Caves and Verkeerderkill Falls          ","
            Shawangunk Mountains          ","
            NY          ","
            7.4 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfallFees          ","
            Allowed on leash          ","
            41.669963,-74.361649          ","
            108,180          "
"
            Sam's Point Preserve          ","
            Sam's Point, Indian Rock, High Point and Verkeerder Kill Falls Loop          ","
            Shawangunk Mountains          ","
            NY          ","
            10 miles          ","
            Moderate to Strenuous          ","
            ViewsFees          ","
            Allowed on leash          ","
            41.669963,-74.361649          ","
            3,951          "
"
            Saxon Woods Park          ","
            Saxon Woods Park Southern Loop          ","
            Westchester County          ","
            NY          ","
            2.7 miles          ","
            Easy          ","
            Public Transportation          ","
            Allowed on leash          ","
            40.977954,-73.745298          ","
            10,335          "
"
            Schunemunk Mountain State Park          ","
            Schunemunk Mountain Loop from Taylor Road via Jessup, Western Ridge and Dark Hollow Trails          ","
            Schunemunk Mountain          ","
            NY          ","
            8.2 miles          ","
            Strenuous          ","
            ViewsPublic Transportation          ","
            Allowed on leash          ","
            41.407553,-74.081725          ","
            10,930          "
"
            Schunemunk Mountain State Park          ","
            Schunemunk Mountain Loop from Otterkill Road           ","
            Schunemunk Mountain          ","
            NY          ","
            8.5 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.425755,-74.101685          ","
            12,864          "
"
            Schunemunk Mountain State Park          ","
            Schunemunk Mountain Loop from Taylor Road via Dark Hollow, Jessup and Western Ridge Trails          ","
            Schunemunk Mountain          ","
            NY          ","
            9 miles          ","
            Strenuous          ","
            ViewsWaterfallPublic Transportation          ","
            Allowed on leash          ","
            41.407553,-74.081725          ","
            16,623          "
"
            Schunemunk Mountain State Park          ","
            Schunemunk Mountain Loop from Taylor Road via Sweet Clover, Jessup and Dark Hollow Trails          ","
            Schunemunk Mountain          ","
            NY          ","
            6.5 miles          ","
            Strenuous          ","
            ViewsWaterfallPublic Transportation          ","
            Allowed on leash          ","
            41.407553,-74.081725          ","
            14,259          "
"
            Schunemunk Mountain State Park          ","
            Schunemunk Mountain Loop from Taylor Road via Jessup, Western Ridge and Sweet Clover Trails          ","
            Schunemunk Mountain          ","
            NY          ","
            7.5 miles          ","
            Strenuous          ","
            ViewsWaterfallPublic Transportation          ","
            Allowed on leash          ","
            41.407553,-74.081725          ","
            4,321          "
"
            Schunemunk Mountain State Park          ","
            Long Path on Schunemunk Mountain          ","
            Schunemunk Mountain          ","
            NY          ","
            7 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            Evans Drive 41.360641,-74.108126; Gonzaga Park 41.356727,-74.175761          ","
            953          "
"
            Shaupeneak Ridge Cooperative Recreation Area          ","
            Shaupeneak Ridge Cooperative Recreation Area          ","
            Other NY          ","
            NY          ","
            5.6 miles          ","
            Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            41.840856,-73.991375          ","
            3,803          "
"
            Shawangunk Ridge Trail          ","
            Long Path and Shawangunk Ridge Trail (Wurtsboro, N.Y.)          ","
            Long Distance Trails          ","
            NY          ","
            10 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.576966,-74.465316 VFW Post; 41.671794,-74.405061 Second car          ","
            12,818          "
"
            Sterling Forest State Park          ","
            Sterling Forest Fire Tower and Iron Mines          ","
            Sterling Forest          ","
            NY          ","
            4.3 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.19890,-74.25684          ","
            17,105          "
"
            Sterling Forest State Park          ","
            Sterling Ridge Trail/Fire Tower/Sterling Lake Trail Loop from Route 17A          ","
            Sterling Forest          ","
            NY          ","
            7 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.230616,-74.260762          ","
            15,221          "
"
            Sterling Forest State Park          ","
            Sterling Lake Loop          ","
            Sterling Forest          ","
            NY          ","
            4.2 miles          ","
            Easy to Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.19890,-74.25684          ","
            19,021          "
"
            Sterling Forest State Park          ","
            Indian Hill Loop Trail          ","
            Sterling Forest          ","
            NY          ","
            3.6 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
                      ","
            14,408          "
"
            Sterling Forest State Park          ","
            Townsend Trail/Long Meadow Extension Loop          ","
            Sterling Forest          ","
            NY          ","
            3.8 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
                      ","
            8,732          "
"
            Sterling Forest State Park          ","
            Bare Rock Trail to Greenwood Lake Overlook          ","
            Sterling Forest          ","
            NY          ","
            7.5 miles          ","
            Strenuous          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.19890,-74.25684          ","
            15,302          "
"
            Sterling Forest State Park          ","
            Furnace Loop/Indian Hill Loop Trails from Hall Road          ","
            Sterling Forest          ","
            NY          ","
            4.3 miles          ","
            Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.25291145066675,-74.18313950300217          ","
            3,504          "
"
            Sterling Forest State Park          ","
            Sterling Forest Doris Duke Wildlife Sanctuary          ","
            Sterling Forest          ","
            NY          ","
            3.5 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.254037,-74.227963          ","
            723          "
"
            Stissing Mountain          ","
            Stissing Mountain Loop to Fire Tower          ","
            Dutchess County          ","
            NY          ","
            1.5 miles          ","
            Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.967532,-73.681698          ","
            3,563          "
"
            Storm King State Park          ","
            Butter Hill/Stillman/By-Pass Trail Loop from Route 9W          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            2.5 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.423196,-74.000773          ","
            18,262          "
"
            Storm King State Park          ","
            Crows Nest Mountain/Howell Trail from Route 9W          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            4 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.414925,-73.993714          ","
            16,793          "
"
            Storm King State Park          ","
            Butter Hill/Stillman/Bluebird Trail Loop from Route 9W          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            3.5 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
            41.423196,-74.000773          ","
            31,223          "
"
            Storm King State Park          ","
            Stillman/Highlands/Bluebird Trails Loop from Mountain Road          ","
            Storm King and Black Rock Forest          ","
            NY          ","
            4.1 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
                      ","
            13,540          "
"
            Sylvan Glen Park Preserve          ","
            Sylvan Glen Park Preserve Short Loop          ","
            Westchester County          ","
            NY          ","
            3 miles          ","
            Easy          ","
            ViewsHistoric feature          ","
            No Dogs          ","
            41.29975, -73.85246          ","
            7,584          "
"
            Sylvan Glen Park Preserve          ","
            Mohegan Quarry Ramble at Sylvan Glen Park Preserve          ","
            Westchester County          ","
            NY          ","
            4.9 miles          ","
            Easy to Moderate          ","
            Historic feature          ","
            No Dogs          ","
            41.29975, -73.85246          ","
            6,028          "
"
            Taconic State Park          ","
            Brace Mountain on the Taconic Ridge          ","
            Southern Taconics          ","
            NY          ","
            7 miles          ","
            Moderate to Strenuous          ","
            Views          ","
            Allowed on leash          ","
                      ","
            19,475          "
"
            Taconic State Park          ","
            South Taconic Tri-State Hike          ","
            Southern Taconics          ","
            MA/CT/NY          ","
            11 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
            42.05022, -73.46699          ","
            11,697          "
"
            Taconic State Park and Bash Bish Falls State Park           ","
            Bash Bish Falls – Sunset Rock – Prospect Hill via the northern section of the South Taconic Trail          ","
            Southern Taconics          ","
            MA/CT/NY          ","
            8.1 miles          ","
            Moderate to Strenuous          ","
            ViewsWaterfall          ","
            Allowed on leash          ","
                      ","
            10,940          "
"
            Tallman Mountain State Park          ","
            Long Path/Bike Path Loop in Tallman Mountain State Park          ","
            Rockland County          ","
            NY          ","
            4.3 miles          ","
            Easy          ","
            Views          ","
            Allowed on leash          ","
            41.029138,-73.916493          ","
            18,834          "
"
            Teatown Lake Reservation          ","
            Teatown Lake/Northwest Trail/Hidden Valley Loop          ","
            Westchester County          ","
            NY          ","
            4.5 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.211169,-73.827353          ","
            11,211          "
"
            Teatown Lake Reservation          ","
            Vernay Lake/Hidden Valley Loop          ","
            Westchester County          ","
            NY          ","
            2.2 miles          ","
            Easy to Moderate          ","
            ViewsWoods          ","
            Allowed on leash          ","
            41.211169,-73.827353          ","
            6,768          "
"
            Van Cortlandt Park          ","
            Van Cortlandt Park          ","
            New York City          ","
            NY          ","
            3 miles          ","
            Easy          ","
            ViewsPublic TransportationHistoric feature          ","
            Allowed on leash          ","
            40.889574,-73.898324          ","
            14,747          "
"
            Walkway Over the Hudson and Franny Reese State Park          ","
            Walkway Over the Hudson and Franny Reese State Park from City of Poughkeepsie (East Shore)          ","
            Dutchess County          ","
            NY          ","
            6 miles          ","
            Moderate          ","
            ViewsHandicap AccessiblePublic TransportationHistoric feature          ","
            Allowed on leash          ","
                      ","
            10,061          "
"
            Walkway Over the Hudson and Franny Reese State Park          ","
            Walkway Over the Hudson and Franny Reese State Park from Highland (West Shore)          ","
            Dutchess County          ","
            NY          ","
            7 miles          ","
            Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
                      ","
            7,863          "
"
            Wappinger Greenway Trail           ","
            Wappinger Greenway Trail           ","
            Dutchess County          ","
            NY          ","
            5 miles          ","
            Moderate          ","
            Public TransportationHistoric feature          ","
            Allowed on leash          ","
            41.587491,-73.947215          ","
            4,027          "
"
            Ward Pound Ridge Reservation          ","
            Ward Pound Ridge Southwest Loop to Leatherman's Cave          ","
            Westchester County          ","
            NY          ","
            6.5 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.248483,-73.595781          ","
            15,329          "
"
            Ward Pound Ridge Reservation          ","
            Northern Loop along Cross River in Ward Pound Ridge Reservation          ","
            Westchester County          ","
            NY          ","
            4.6 miles          ","
            Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.268259,-73.609085          ","
            7,823          "
"
            Ward Pound Ridge Reservation          ","
            Southeast Loop at Ward Pound Ridge to Highest Point in the Park          ","
            Westchester County          ","
            NY          ","
            3.8 miles          ","
            Moderate          ","
            Fees          ","
            Allowed on leash          ","
            41.299476,-73.643417          ","
            6,496          "
"
            Ward Pound Ridge Reservation          ","
            Loop Hike to Fire Tower Site and Indian Rock Shelter from Michigan Road Parking Area          ","
            Westchester County          ","
            NY          ","
            4 miles          ","
            Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.264905,-73.616295          ","
            7,658          "
"
            Ward Pound Ridge Reservation          ","
            Rocks Trail at Ward Pound Ridge Reservation          ","
            Westchester County          ","
            NY          ","
            7.5 miles          ","
            Moderate to Strenuous          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.248483,-73.595781          ","
            12,462          "
"
            Ward Pound Ridge Reservation          ","
            Loop hike to CCC Camp Ruins, Indian Rock Shelter, Raven Rocks, Dancing Rock and Bear Rock at Ward Pound Ridge          ","
            Westchester County          ","
            NY          ","
            5 miles          ","
            Easy to Moderate          ","
            ViewsHistoric feature          ","
            Allowed on leash          ","
            41.297413,-73.613892          ","
            1,996          "
"
            Westchester Wilderness Walk          ","
            Westchester Wilderness Walk (Pound Ridge, New York)          ","
            Westchester County          ","
            NY          ","
            6 miles          ","
            Easy to Moderate          ","
            ViewsWoods          ","
            Allowed on leash          ","
            41.17607,-73.599472          ","
            13,561          "
"
            Westmoreland Sanctuary (Mt. Kisco, N.Y.)          ","
            Westmoreland Sanctuary Loop Hike          ","
            Westchester County          ","
            NY          ","
            6 miles          ","
            Moderate          ","
            Views          ","
            No Dogs          ","
            41.180915,-73.684788          ","
            10,840          "
"
            Wonder Lake State Park          ","
            Wonder Lake Figure-Eight Loop          ","
            Fahnestock State Park          ","
            NY          ","
            4 miles          ","
            Easy to Moderate          ","
            Views          ","
            Allowed on leash          ","
            41.49487,-73.66284          ","
            7,648          "
"
            Wonder Lake State Park          ","
            Wonder Lake/Laurel Pond Loop Hike          ","
            Fahnestock State Park          ","
            NY          ","
            5.1 miles          ","
            Easy to Moderate          ","
            ViewsWoods          ","
            Allowed on leash          ","
            41.49487,-73.66284          ","
            7,169          "
